epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1652.94,1.04884,0.88175,0.99603,0.32354,0.0671048,0.000332275,0.000332275
2,3290.85,0.39801,0.95476,1,0.11718,0.034103,0.000663804,0.000663804
3,4911.47,0.29555,0.96349,1,0.1132,0.00109396,0.000988136,0.000988136
4,6610.52,0.21831,0.98254,1,0.05498,0.000975773,0.000975773,0.000975773
5,8305.22,0.17497,0.95,1,0.17143,0.000957205,0.000957205,0.000957205
6,10035.1,0.14751,0.98889,1,0.03282,0.000933683,0.000933683,0.000933683
7,11827.5,0.11058,0.99762,1,0.01763,0.000905463,0.000905463,0.000905463
8,13534,0.09755,0.9881,1,0.0292,0.000872857,0.000872857,0.000872857
9,15304.4,0.08425,0.98968,1,0.02609,0.00083622,0.00083622,0.00083622
10,17039.9,0.0739,0.99603,1,0.01791,0.000795954,0.000795954,0.000795954
11,18704.1,0.06766,0.99365,1,0.01701,0.0007525,0.0007525,0.0007525
12,20362,0.07067,0.99762,1,0.01044,0.000706335,0.000706335,0.000706335
