epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1675.2,1.05264,0.92222,0.99762,0.27714,0.0671048,0.000332275,0.000332275
2,3355.79,0.417,0.96349,1,0.11352,0.034103,0.000663804,0.000663804
3,5076.46,0.28781,0.96429,1,0.11043,0.00109396,0.000988136,0.000988136
4,6778.79,0.21891,0.98254,1,0.07481,0.000975773,0.000975773,0.000975773
5,8548.23,0.18139,0.97619,1,0.08103,0.000957205,0.000957205,0.000957205
6,10318.8,0.15675,0.99048,1,0.04856,0.000933683,0.000933683,0.000933683
7,12111.3,0.12284,0.99048,0.99841,0.05256,0.000905463,0.000905463,0.000905463
8,13860.6,0.11485,0.99524,1,0.02357,0.000872857,0.000872857,0.000872857
9,15493.2,0.09274,0.99286,1,0.03419,0.00083622,0.00083622,0.00083622
10,17114.7,0.09185,0.99365,1,0.02927,0.000795954,0.000795954,0.000795954
11,18738.8,0.07332,0.99524,1,0.02046,0.0007525,0.0007525,0.0007525
12,20390.9,0.07224,0.99286,1,0.01818,0.000706335,0.000706335,0.000706335
13,22038.2,0.0684,0.99127,1,0.02557,0.000657963,0.000657963,0.000657963
