epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1669.91,1.03696,0.82778,0.99683,0.53885,0.0671048,0.000332275,0.000332275
2,3309.83,0.39611,0.97619,0.99921,0.08317,0.034103,0.000663804,0.000663804
3,5001.89,0.26348,0.95476,0.99921,0.12317,0.00109396,0.000988136,0.000988136
4,6665.34,0.25007,0.98333,1,0.05929,0.000975773,0.000975773,0.000975773
5,8372.93,0.18626,0.95635,1,0.10598,0.000957205,0.000957205,0.000957205
6,10050.3,0.15182,0.99444,1,0.0206,0.000933683,0.000933683,0.000933683
7,11658.9,0.12883,0.99841,1,0.01183,0.000905463,0.000905463,0.000905463
8,13286.2,0.10377,0.99683,1,0.01441,0.000872857,0.000872857,0.000872857
9,14989.8,0.10141,1,1,0.00443,0.00083622,0.00083622,0.00083622
10,16698.2,0.08863,0.99444,1,0.01371,0.000795954,0.000795954,0.000795954
11,18370.6,0.07664,0.99762,1,0.00964,0.0007525,0.0007525,0.0007525
12,20041.7,0.07088,0.99286,1,0.01669,0.000706335,0.000706335,0.000706335
13,21711,0.06951,0.99762,1,0.00905,0.000657963,0.000657963,0.000657963
14,23373.8,0.05279,0.99921,1,0.00351,0.000607916,0.000607916,0.000607916
