epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1749.5,1.04601,0.9,0.99762,0.3087,0.0671048,0.000332275,0.000332275
2,3393.98,0.40442,0.96349,1,0.12457,0.034103,0.000663804,0.000663804
3,5031.48,0.28481,0.96984,1,0.09074,0.00109396,0.000988136,0.000988136
4,6678.17,0.23656,0.9873,1,0.04,0.000975773,0.000975773,0.000975773
5,8359.69,0.17535,0.98175,1,0.05468,0.000957205,0.000957205,0.000957205
6,9985.25,0.14499,0.99286,1,0.02657,0.000933683,0.000933683,0.000933683
7,11636.1,0.11126,0.99206,1,0.02572,0.000905463,0.000905463,0.000905463
8,13270.7,0.09104,0.99603,1,0.0157,0.000872857,0.000872857,0.000872857
9,14887.2,0.09565,0.99683,1,0.01051,0.00083622,0.00083622,0.00083622
10,16589.5,0.08598,0.99841,1,0.0068,0.000795954,0.000795954,0.000795954
11,18273.4,0.06804,0.99762,1,0.00542,0.0007525,0.0007525,0.0007525
12,22024.3,0.06236,1,1,0.00247,0.000706335,0.000706335,0.000706335
13,23681.8,0.07243,0.99841,1,0.00586,0.000657963,0.000657963,0.000657963
14,25353.4,0.04926,0.99683,1,0.00828,0.000607916,0.000607916,0.000607916
15,27025.3,0.04846,0.99683,1,0.01029,0.000556742,0.000556742,0.000556742
16,28683.3,0.04602,0.99921,1,0.00382,0.000505,0.000505,0.000505
17,30337.7,0.03524,0.99921,1,0.00383,0.000453258,0.000453258,0.000453258
